Date,SWC_z2_A,SWC_z2_B,SWC_z2_C,SWC_z5_A,SWC_z5_B,SWC_z5_C,SWC_z20_A,SWC_z20_B,SWC_z20_C
04/03/2014 15:00,NA,NA,NA,0.393,0.397,0.347,0.182,0.314,0.15
04/03/2014 16:00,NA,NA,NA,0.393,0.398,0.347,0.184,0.314,0.151
04/03/2014 17:00,NA,NA,NA,0.393,0.398,0.347,0.186,0.315,0.152
04/03/2014 18:00,NA,NA,NA,0.392,0.398,0.348,0.187,0.315,0.153
04/03/2014 19:00,NA,NA,NA,0.392,0.398,0.348,0.187,0.316,0.154
04/03/2014 20:00,NA,NA,NA,0.392,0.399,0.348,0.188,0.316,0.155
04/03/2014 21:00,NA,NA,NA,0.392,0.399,0.348,0.189,0.316,0.155
04/03/2014 22:00,NA,NA,NA,0.392,0.399,0.348,0.189,0.317,0.156
04/03/2014 23:00,NA,NA,NA,0.392,0.399,0.349,0.19,0.317,0.156
04/04/2014 00:00,NA,NA,NA,0.392,0.399,0.348,0.19,0.317,0.157
04/04/2014 01:00,NA,NA,NA,0.392,0.399,0.348,0.191,0.317,0.157
04/04/2014 02:00,NA,NA,NA,0.391,0.399,0.348,0.191,0.317,0.157
04/04/2014 03:00,NA,NA,NA,0.391,0.399,0.348,0.191,0.317,0.157
04/04/2014 04:00,NA,NA,NA,0.391,0.399,0.349,0.192,0.317,0.158
04/04/2014 05:00,NA,NA,NA,0.391,0.4,0.349,0.192,0.317,0.158
04/04/2014 06:00,NA,NA,NA,0.391,0.4,0.349,0.192,0.317,0.158
04/04/2014 07:00,NA,NA,NA,0.391,0.4,0.349,0.193,0.317,0.158
04/04/2014 08:00,NA,NA,NA,0.391,0.399,0.349,0.193,0.317,0.159
04/04/2014 09:00,NA,NA,NA,0.391,0.4,0.349,0.193,0.317,0.159
04/04/2014 10:00,NA,NA,NA,0.39,0.399,0.349,0.193,0.317,0.159
04/04/2014 11:00,NA,NA,NA,0.39,0.399,0.348,0.193,0.317,0.159
04/04/2014 12:00,NA,NA,NA,0.39,0.399,0.348,0.194,0.317,0.159
04/04/2014 13:00,NA,NA,NA,0.39,0.398,0.347,0.194,0.317,0.159
04/04/2014 14:00,NA,NA,NA,0.389,0.398,0.346,0.194,0.317,0.159
04/04/2014 15:00,NA,NA,NA,0.389,0.397,0.346,0.194,0.317,0.159
04/04/2014 16:00,NA,NA,NA,0.389,0.397,0.345,0.194,0.317,0.159
04/04/2014 17:00,NA,NA,NA,0.389,0.397,0.345,0.194,0.317,0.159
04/04/2014 18:00,NA,NA,NA,0.389,0.397,0.345,0.195,0.317,0.159
04/04/2014 19:00,NA,NA,NA,0.389,0.397,0.346,0.195,0.316,0.159
04/04/2014 20:00,NA,NA,NA,0.389,0.397,0.346,0.195,0.316,0.159
04/04/2014 21:00,NA,NA,NA,0.389,0.397,0.346,0.195,0.316,0.159
04/04/2014 22:00,NA,NA,NA,0.389,0.397,0.346,0.195,0.316,0.159
04/04/2014 23:00,NA,NA,NA,0.389,0.397,0.346,0.195,0.316,0.159
04/05/2014 00:00,NA,NA,NA,0.389,0.397,0.346,0.195,0.316,0.159
04/05/2014 01:00,NA,NA,NA,0.389,0.397,0.346,0.195,0.316,0.159
04/05/2014 02:00,NA,NA,NA,0.389,0.397,0.346,0.195,0.316,0.159
04/05/2014 03:00,NA,NA,NA,0.389,0.397,0.346,0.195,0.316,0.159
04/05/2014 04:00,NA,NA,NA,0.388,0.397,0.347,0.195,0.316,0.16
04/05/2014 05:00,NA,NA,NA,0.388,0.397,0.347,0.195,0.316,0.16
04/05/2014 06:00,NA,NA,NA,0.388,0.397,0.347,0.195,0.316,0.16
04/05/2014 07:00,NA,NA,NA,0.388,0.397,0.347,0.196,0.316,0.16
04/05/2014 08:00,NA,NA,NA,0.388,0.398,0.347,0.196,0.316,0.16
04/05/2014 09:00,NA,NA,NA,0.388,0.397,0.347,0.196,0.316,0.16
04/05/2014 10:00,NA,NA,NA,0.387,0.397,0.346,0.196,0.316,0.16
04/05/2014 11:00,NA,NA,NA,0.387,0.397,0.346,0.196,0.316,0.16
04/05/2014 12:00,NA,NA,NA,0.386,0.397,0.346,0.196,0.316,0.16
04/05/2014 13:00,NA,NA,NA,0.386,0.397,0.345,0.196,0.316,0.16
04/05/2014 14:00,NA,NA,NA,0.386,0.397,0.345,0.196,0.316,0.16
04/05/2014 15:00,NA,NA,NA,0.386,0.396,0.345,0.196,0.316,0.16
04/05/2014 16:00,NA,NA,NA,0.385,0.396,0.345,0.196,0.315,0.16
04/05/2014 17:00,NA,NA,NA,0.385,0.396,0.344,0.196,0.315,0.16
04/05/2014 18:00,NA,NA,NA,0.385,0.396,0.344,0.196,0.315,0.16
04/05/2014 19:00,NA,NA,NA,0.385,0.396,0.344,0.196,0.315,0.16
04/05/2014 20:00,NA,NA,NA,0.385,0.396,0.344,0.196,0.315,0.16
04/05/2014 21:00,NA,NA,NA,0.385,0.396,0.344,0.196,0.315,0.16
04/05/2014 22:00,NA,NA,NA,0.385,0.396,0.345,0.196,0.315,0.16
04/05/2014 23:00,NA,NA,NA,0.385,0.396,0.345,0.196,0.315,0.16
04/06/2014 00:00,NA,NA,NA,0.385,0.397,0.345,0.196,0.315,0.16
04/06/2014 01:00,NA,NA,NA,0.385,0.396,0.345,0.196,0.315,0.16
04/06/2014 02:00,NA,NA,NA,0.385,0.396,0.345,0.196,0.315,0.16
04/06/2014 03:00,NA,NA,NA,0.385,0.397,0.346,0.196,0.315,0.16
04/06/2014 04:00,NA,NA,NA,0.385,0.397,0.346,0.196,0.315,0.16
04/06/2014 05:00,NA,NA,NA,0.385,0.397,0.346,0.196,0.315,0.16
04/06/2014 06:00,NA,NA,NA,0.385,0.397,0.346,0.196,0.315,0.16
04/06/2014 07:00,NA,NA,NA,0.385,0.397,0.346,0.196,0.315,0.16
04/06/2014 08:00,NA,NA,NA,0.385,0.397,0.346,0.196,0.315,0.16
04/06/2014 09:00,NA,NA,NA,0.385,0.397,0.346,0.197,0.315,0.16
04/06/2014 10:00,NA,NA,NA,0.384,0.396,0.345,0.197,0.315,0.16
04/06/2014 11:00,NA,NA,NA,0.384,0.396,0.344,0.197,0.315,0.16
04/06/2014 12:00,NA,NA,NA,0.383,0.396,0.343,0.197,0.315,0.16
04/06/2014 13:00,NA,NA,NA,0.382,0.395,0.342,0.197,0.315,0.16
04/06/2014 14:00,NA,NA,NA,0.382,0.394,0.341,0.197,0.314,0.16
04/06/2014 15:00,NA,NA,NA,0.381,0.394,0.34,0.196,0.314,0.16
04/06/2014 16:00,NA,NA,NA,0.38,0.393,0.339,0.196,0.314,0.16
04/06/2014 17:00,NA,NA,NA,0.38,0.392,0.339,0.196,0.314,0.159
04/06/2014 18:00,NA,NA,NA,0.38,0.392,0.339,0.196,0.314,0.159
04/06/2014 19:00,NA,NA,NA,0.38,0.392,0.339,0.196,0.313,0.159
04/06/2014 20:00,NA,NA,NA,0.38,0.392,0.339,0.196,0.313,0.159
04/06/2014 21:00,NA,NA,NA,0.38,0.392,0.339,0.196,0.313,0.159
04/06/2014 22:00,NA,NA,NA,0.38,0.392,0.339,0.196,0.313,0.159
04/06/2014 23:00,NA,NA,NA,0.38,0.392,0.339,0.196,0.313,0.159
04/07/2014 00:00,NA,NA,NA,0.38,0.392,0.34,0.196,0.313,0.159
04/07/2014 01:00,NA,NA,NA,0.38,0.393,0.34,0.196,0.313,0.159
04/07/2014 02:00,NA,NA,NA,0.38,0.393,0.34,0.196,0.313,0.159
04/07/2014 03:00,NA,NA,NA,0.38,0.393,0.34,0.196,0.313,0.159
04/07/2014 04:00,NA,NA,NA,0.38,0.393,0.34,0.196,0.313,0.159
04/07/2014 05:00,NA,NA,NA,0.38,0.393,0.341,0.196,0.313,0.159
04/07/2014 06:00,NA,NA,NA,0.38,0.393,0.341,0.196,0.313,0.159
04/07/2014 07:00,NA,NA,NA,0.379,0.393,0.341,0.196,0.313,0.159
04/07/2014 08:00,NA,NA,NA,0.379,0.393,0.341,0.196,0.313,0.159
04/07/2014 09:00,NA,NA,NA,0.379,0.393,0.341,0.196,0.313,0.159
04/07/2014 10:00,NA,NA,NA,0.379,0.393,0.34,0.196,0.313,0.159
04/07/2014 11:00,NA,NA,NA,0.378,0.392,0.34,0.196,0.312,0.159
04/07/2014 12:00,NA,NA,NA,0.377,0.392,0.338,0.196,0.312,0.159
04/07/2014 13:00,NA,NA,NA,0.376,0.392,0.338,0.196,0.312,0.159
04/07/2014 14:00,NA,NA,NA,0.376,0.39,0.336,0.196,0.312,0.159
04/07/2014 15:00,NA,NA,NA,0.375,0.39,0.335,0.195,0.312,0.159
04/07/2014 16:00,NA,NA,NA,0.374,0.389,0.335,0.195,0.311,0.159
04/07/2014 17:00,NA,NA,NA,0.374,0.389,0.335,0.195,0.311,0.159
04/07/2014 18:00,NA,NA,NA,0.374,0.388,0.335,0.195,0.311,0.159
04/07/2014 19:00,NA,NA,NA,0.374,0.388,0.335,0.195,0.31,0.159
04/07/2014 20:00,NA,NA,NA,0.373,0.389,0.335,0.195,0.31,0.159
04/07/2014 21:00,NA,NA,NA,0.373,0.389,0.335,0.195,0.31,0.159
04/07/2014 22:00,NA,NA,NA,0.373,0.389,0.336,0.195,0.31,0.158
04/07/2014 23:00,NA,NA,NA,0.373,0.389,0.336,0.195,0.31,0.158
04/08/2014 00:00,NA,NA,NA,0.373,0.389,0.336,0.195,0.31,0.158
04/08/2014 01:00,NA,NA,NA,0.373,0.389,0.336,0.195,0.31,0.158
04/08/2014 02:00,NA,NA,NA,0.373,0.389,0.337,0.195,0.31,0.158
04/08/2014 03:00,NA,NA,NA,0.373,0.389,0.337,0.195,0.31,0.158
04/08/2014 04:00,NA,NA,NA,0.373,0.389,0.337,0.195,0.31,0.158
04/08/2014 05:00,NA,NA,NA,0.373,0.389,0.337,0.195,0.311,0.158
04/08/2014 06:00,NA,NA,NA,0.373,0.389,0.337,0.195,0.311,0.158
04/08/2014 07:00,NA,NA,NA,0.373,0.39,0.337,0.195,0.311,0.158
04/08/2014 08:00,NA,NA,NA,0.373,0.39,0.338,0.195,0.311,0.158
04/08/2014 09:00,NA,NA,NA,0.373,0.39,0.338,0.195,0.311,0.158
04/08/2014 10:00,NA,NA,NA,0.372,0.389,0.337,0.195,0.311,0.158
04/08/2014 11:00,NA,NA,NA,0.372,0.389,0.336,0.195,0.31,0.158
