Date,SWC_z2_A,SWC_z2_B,SWC_z2_C,SWC_z5_A,SWC_z5_B,SWC_z5_C,SWC_z20_A,SWC_z20_B,SWC_z20_C
04/03/2014 11:00,NA,NA,NA,0.36,0.35,0.368,0.214,0.4,0.293
04/03/2014 12:00,NA,NA,NA,0.36,0.35,0.367,0.214,0.4,0.293
04/03/2014 13:00,NA,NA,NA,0.359,0.349,0.367,0.214,0.4,0.294
04/03/2014 14:00,NA,NA,NA,0.359,0.349,0.367,0.214,0.4,0.294
04/03/2014 15:00,NA,NA,NA,0.359,0.349,0.367,0.214,0.4,0.294
04/03/2014 16:00,NA,NA,NA,0.359,0.348,0.367,0.214,0.4,0.294
04/03/2014 17:00,NA,NA,NA,0.359,0.348,0.367,0.214,0.4,0.294
04/03/2014 18:00,NA,NA,NA,0.359,0.348,0.367,0.214,0.4,0.294
04/03/2014 19:00,NA,NA,NA,0.359,0.348,0.367,0.215,0.399,0.294
04/03/2014 20:00,NA,NA,NA,0.359,0.348,0.367,0.215,0.399,0.295
04/03/2014 21:00,NA,NA,NA,0.359,0.348,0.367,0.215,0.399,0.295
04/03/2014 22:00,NA,NA,NA,0.36,0.348,0.367,0.215,0.399,0.295
04/03/2014 23:00,NA,NA,NA,0.36,0.348,0.367,0.216,0.399,0.295
04/04/2014 00:00,NA,NA,NA,0.36,0.348,0.367,0.216,0.399,0.296
04/04/2014 01:00,NA,NA,NA,0.36,0.348,0.367,0.216,0.399,0.296
04/04/2014 02:00,NA,NA,NA,0.36,0.348,0.367,0.216,0.399,0.296
04/04/2014 03:00,NA,NA,NA,0.36,0.348,0.367,0.216,0.399,0.296
04/04/2014 04:00,NA,NA,NA,0.36,0.348,0.367,0.216,0.399,0.296
04/04/2014 05:00,NA,NA,NA,0.36,0.348,0.367,0.216,0.399,0.296
04/04/2014 06:00,NA,NA,NA,0.36,0.347,0.367,0.216,0.399,0.296
04/04/2014 07:00,NA,NA,NA,0.36,0.347,0.367,0.216,0.399,0.296
04/04/2014 08:00,NA,NA,NA,0.36,0.347,0.367,0.217,0.399,0.296
04/04/2014 09:00,NA,NA,NA,0.36,0.347,0.366,0.217,0.399,0.297
04/04/2014 10:00,NA,NA,NA,0.36,0.347,0.366,0.217,0.399,0.297
04/04/2014 11:00,NA,NA,NA,0.359,0.347,0.365,0.217,0.399,0.297
04/04/2014 12:00,NA,NA,NA,0.358,0.346,0.364,0.217,0.399,0.297
04/04/2014 13:00,NA,NA,NA,0.357,0.346,0.364,0.217,0.399,0.297
04/04/2014 14:00,NA,NA,NA,0.356,0.345,0.362,0.217,0.399,0.297
04/04/2014 15:00,NA,NA,NA,0.355,0.345,0.361,0.217,0.399,0.297
04/04/2014 16:00,NA,NA,NA,0.354,0.345,0.36,0.217,0.399,0.297
04/04/2014 17:00,NA,NA,NA,0.354,0.344,0.36,0.217,0.398,0.297
04/04/2014 18:00,NA,NA,NA,0.353,0.344,0.359,0.217,0.398,0.297
04/04/2014 19:00,NA,NA,NA,0.353,0.344,0.358,0.217,0.398,0.297
04/04/2014 20:00,NA,NA,NA,0.353,0.344,0.358,0.218,0.398,0.297
04/04/2014 21:00,NA,NA,NA,0.353,0.343,0.358,0.218,0.398,0.297
04/04/2014 22:00,NA,NA,NA,0.353,0.343,0.358,0.218,0.398,0.297
04/04/2014 23:00,NA,NA,NA,0.352,0.343,0.358,0.218,0.398,0.297
04/05/2014 00:00,NA,NA,NA,0.352,0.342,0.358,0.218,0.398,0.297
04/05/2014 01:00,NA,NA,NA,0.353,0.342,0.358,0.218,0.398,0.297
04/05/2014 02:00,NA,NA,NA,0.353,0.342,0.357,0.218,0.398,0.297
04/05/2014 03:00,NA,NA,NA,0.354,0.342,0.357,0.218,0.398,0.297
04/05/2014 04:00,NA,NA,NA,0.354,0.342,0.357,0.218,0.398,0.297
04/05/2014 05:00,NA,NA,NA,0.354,0.342,0.357,0.218,0.398,0.298
04/05/2014 06:00,NA,NA,NA,0.353,0.342,0.357,0.218,0.398,0.298
04/05/2014 07:00,NA,NA,NA,0.352,0.341,0.357,0.218,0.398,0.298
04/05/2014 08:00,NA,NA,NA,0.352,0.341,0.357,0.218,0.398,0.298
04/05/2014 09:00,NA,NA,NA,0.351,0.341,0.356,0.218,0.398,0.298
04/05/2014 10:00,NA,NA,NA,0.35,0.341,0.356,0.218,0.398,0.298
04/05/2014 11:00,NA,NA,NA,0.349,0.34,0.354,0.218,0.398,0.298
04/05/2014 12:00,NA,NA,NA,0.348,0.34,0.354,0.218,0.398,0.298
04/05/2014 13:00,NA,NA,NA,0.347,0.339,0.353,0.218,0.398,0.298
04/05/2014 14:00,NA,NA,NA,0.346,0.339,0.352,0.218,0.398,0.298
04/05/2014 15:00,NA,NA,NA,0.345,0.339,0.351,0.218,0.398,0.298
04/05/2014 16:00,NA,NA,NA,0.344,0.338,0.351,0.218,0.398,0.298
04/05/2014 17:00,NA,NA,NA,0.344,0.338,0.35,0.218,0.398,0.297
04/05/2014 18:00,NA,NA,NA,0.345,0.337,0.35,0.218,0.398,0.297
04/05/2014 19:00,NA,NA,NA,0.344,0.337,0.35,0.218,0.398,0.297
04/05/2014 20:00,NA,NA,NA,0.344,0.337,0.349,0.218,0.397,0.297
04/05/2014 21:00,NA,NA,NA,0.343,0.336,0.349,0.218,0.397,0.297
04/05/2014 22:00,NA,NA,NA,0.342,0.336,0.349,0.218,0.397,0.297
04/05/2014 23:00,NA,NA,NA,0.343,0.336,0.348,0.218,0.397,0.297
04/06/2014 00:00,NA,NA,NA,0.343,0.336,0.348,0.218,0.397,0.297
04/06/2014 01:00,NA,NA,NA,0.343,0.336,0.348,0.218,0.397,0.297
04/06/2014 02:00,NA,NA,NA,0.343,0.336,0.348,0.218,0.397,0.297
04/06/2014 03:00,NA,NA,NA,0.343,0.335,0.348,0.218,0.397,0.297
04/06/2014 04:00,NA,NA,NA,0.343,0.335,0.348,0.218,0.397,0.297
04/06/2014 05:00,NA,NA,NA,0.343,0.335,0.348,0.218,0.397,0.297
04/06/2014 06:00,NA,NA,NA,0.342,0.335,0.348,0.218,0.397,0.297
04/06/2014 07:00,NA,NA,NA,0.342,0.335,0.348,0.218,0.397,0.297
04/06/2014 08:00,NA,NA,NA,0.342,0.334,0.348,0.218,0.397,0.297
04/06/2014 09:00,NA,NA,NA,0.341,0.334,0.347,0.218,0.397,0.297
04/06/2014 10:00,NA,NA,NA,0.34,0.333,0.346,0.218,0.397,0.297
04/06/2014 11:00,NA,NA,NA,0.338,0.332,0.346,0.218,0.397,0.297
04/06/2014 12:00,NA,NA,NA,0.338,0.332,0.344,0.218,0.397,0.297
04/06/2014 13:00,NA,NA,NA,0.336,0.332,0.343,0.218,0.397,0.296
04/06/2014 14:00,NA,NA,NA,0.334,0.332,0.341,0.217,0.397,0.296
04/06/2014 15:00,NA,NA,NA,0.333,0.331,0.34,0.217,0.397,0.296
04/06/2014 16:00,NA,NA,NA,0.332,0.33,0.338,0.217,0.397,0.296
04/06/2014 17:00,NA,NA,NA,0.332,0.33,0.337,0.217,0.396,0.295
04/06/2014 18:00,NA,NA,NA,0.331,0.33,0.336,0.217,0.396,0.295
04/06/2014 19:00,NA,NA,NA,0.331,0.329,0.335,0.217,0.396,0.295
04/06/2014 20:00,NA,NA,NA,0.331,0.328,0.335,0.217,0.396,0.295
04/06/2014 21:00,NA,NA,NA,0.33,0.328,0.335,0.217,0.396,0.295
04/06/2014 22:00,NA,NA,NA,0.33,0.327,0.334,0.217,0.396,0.295
04/06/2014 23:00,NA,NA,NA,0.33,0.327,0.334,0.217,0.396,0.295
04/07/2014 00:00,NA,NA,NA,0.33,0.327,0.334,0.217,0.396,0.295
04/07/2014 01:00,NA,NA,NA,0.33,0.327,0.334,0.217,0.396,0.295
04/07/2014 02:00,NA,NA,NA,0.33,0.326,0.334,0.217,0.396,0.295
04/07/2014 03:00,NA,NA,NA,0.33,0.326,0.333,0.217,0.396,0.295
04/07/2014 04:00,NA,NA,NA,0.33,0.326,0.333,0.217,0.396,0.295
04/07/2014 05:00,NA,NA,NA,0.33,0.326,0.333,0.217,0.396,0.295
04/07/2014 06:00,NA,NA,NA,0.33,0.325,0.333,0.217,0.396,0.295
04/07/2014 07:00,NA,NA,NA,0.33,0.325,0.333,0.217,0.396,0.295
04/07/2014 08:00,NA,NA,NA,0.33,0.324,0.332,0.217,0.396,0.295
04/07/2014 09:00,NA,NA,NA,0.33,0.324,0.332,0.217,0.396,0.295
04/07/2014 10:00,NA,NA,NA,0.33,0.324,0.331,0.217,0.396,0.295
04/07/2014 11:00,NA,NA,NA,0.328,0.323,0.33,0.217,0.396,0.295
04/07/2014 12:00,NA,NA,NA,0.326,0.323,0.328,0.216,0.396,0.294
04/07/2014 13:00,NA,NA,NA,0.324,0.322,0.326,0.216,0.396,0.294
04/07/2014 14:00,NA,NA,NA,0.322,0.322,0.324,0.216,0.395,0.294
04/07/2014 15:00,NA,NA,NA,0.32,0.321,0.322,0.216,0.395,0.293
04/07/2014 16:00,NA,NA,NA,0.32,0.321,0.321,0.216,0.395,0.293
04/07/2014 17:00,NA,NA,NA,0.319,0.32,0.32,0.216,0.395,0.293
04/07/2014 18:00,NA,NA,NA,0.319,0.319,0.32,0.215,0.395,0.293
04/07/2014 19:00,NA,NA,NA,0.319,0.319,0.319,0.215,0.395,0.293
04/07/2014 20:00,NA,NA,NA,0.318,0.318,0.319,0.215,0.395,0.293
04/07/2014 21:00,NA,NA,NA,0.318,0.318,0.319,0.215,0.395,0.293
04/07/2014 22:00,NA,NA,NA,0.318,0.318,0.319,0.215,0.395,0.293
04/07/2014 23:00,NA,NA,NA,0.318,0.317,0.318,0.215,0.395,0.293
04/08/2014 00:00,NA,NA,NA,0.318,0.317,0.318,0.215,0.395,0.293
04/08/2014 01:00,NA,NA,NA,0.318,0.317,0.318,0.215,0.395,0.293
04/08/2014 02:00,NA,NA,NA,0.318,0.317,0.318,0.215,0.395,0.293
04/08/2014 03:00,NA,NA,NA,0.318,0.316,0.318,0.215,0.395,0.293
04/08/2014 04:00,NA,NA,NA,0.318,0.316,0.318,0.215,0.395,0.293
04/08/2014 05:00,NA,NA,NA,0.318,0.315,0.317,0.214,0.395,0.293
04/08/2014 06:00,NA,NA,NA,0.318,0.315,0.317,0.214,0.394,0.292
04/08/2014 07:00,NA,NA,NA,0.318,0.315,0.317,0.214,0.395,0.292
04/08/2014 08:00,NA,NA,NA,0.318,0.315,0.317,0.214,0.395,0.292
04/08/2014 09:00,NA,NA,NA,0.317,0.314,0.316,0.214,0.395,0.292
04/08/2014 10:00,NA,NA,NA,0.316,0.314,0.316,0.214,0.394,0.292
04/08/2014 11:00,NA,NA,NA,0.315,0.314,0.315,0.214,0.394,0.292
04/08/2014 12:00,NA,NA,NA,0.314,0.313,0.315,0.214,0.394,0.292
04/08/2014 13:00,NA,NA,NA,0.314,0.313,0.314,0.214,0.394,0.292
04/08/2014 14:00,NA,NA,NA,0.314,0.313,0.314,0.214,0.394,0.292
04/08/2014 15:00,NA,NA,NA,0.314,0.313,0.315,0.214,0.394,0.292
04/08/2014 16:00,NA,NA,NA,0.314,0.313,0.315,0.214,0.394,0.292
04/08/2014 17:00,NA,NA,NA,0.314,0.312,0.315,0.214,0.394,0.291
04/08/2014 18:00,NA,NA,NA,0.314,0.312,0.314,0.214,0.394,0.291
