Date,JDfrom0,Iprec,WindSp,WindDir,RelHum,AirT,SWglobal,CloudTrans
16/10/2009 23:00,734061.958333,0,2.23,256.9,55.27,-2.75,0.6,-9999
17/10/2009 00:00,734062.000000,0,1.67,289.93,55.4,-3.04,0.6,-9999
17/10/2009 01:00,734062.041667,0,1.71,209.9,56.4,-2.89,0.6,-9999
17/10/2009 02:00,734062.083333,0,1.39,274.82,58.42,-3.06,0.6,-9999
17/10/2009 03:00,734062.125000,0,2.55,237.25,65.38,-3.54,0.6,-9999
17/10/2009 04:00,734062.166667,0,2.51,227.4,67.88,-3.39,0.6,-9999
17/10/2009 05:00,734062.208333,0,3.2,234.8,70.22,-3.45,0.6,-9999
17/10/2009 06:00,734062.250000,0,3.85,238.32,71.72,-3.35,3.12,-9999
17/10/2009 07:00,734062.291667,0,1.58,243.22,72.47,-3.11,58.15,-9999
17/10/2009 08:00,734062.333333,0,2.83,240.43,72.32,-2.46,125.33,-9999
17/10/2009 09:00,734062.375000,0,3.71,228.15,68.85,-1.53,159.97,-9999
17/10/2009 10:00,734062.416667,0,3.85,206.38,62.65,-0.66,209.7,-9999
17/10/2009 11:00,734062.458333,0,3.25,204.65,62.05,-0.7,177.5,-9999
17/10/2009 12:00,734062.500000,0,2.46,192.68,67.28,-1.22,186.25,-9999
17/10/2009 13:00,734062.541667,0,2.69,190.95,68.75,-1.14,163.75,-9999
17/10/2009 14:00,734062.583333,0,2.55,204.97,66.15,-0.94,155.62,-9999
17/10/2009 15:00,734062.625000,0,2.64,196.57,61.77,-0.97,114.08,-9999
17/10/2009 16:00,734062.666667,0,1.58,198.62,58.35,-1.14,74.08,-9999
17/10/2009 17:00,734062.708333,0,1.16,148.45,61.42,-2.07,6.88,-9999
17/10/2009 18:00,734062.750000,0,0.7,239.38,62.38,-2.5,0.6,-9999
17/10/2009 19:00,734062.791667,0,0.42,257.27,64.08,-2.9,0.6,-9999
17/10/2009 20:00,734062.833333,0,0.93,236.57,65.15,-3.06,0.6,-9999
17/10/2009 21:00,734062.875000,0,0.84,247.45,65.65,-3.23,0.6,-9999
17/10/2009 22:00,734062.916667,0,0.65,92.97,68.78,-3.83,0.6,-9999
17/10/2009 23:00,734062.958333,0,0.88,12.28,70.65,-4.49,0.6,-9999
18/10/2009 00:00,734063.000000,0,1.02,12.62,69.5,-4.76,0.6,-9999
18/10/2009 01:00,734063.041667,0,1.07,94.4,67.12,-5.12,0.6,-9999
18/10/2009 02:00,734063.083333,0,1.25,12.6,61.5,-4.77,0.6,-9999
18/10/2009 03:00,734063.125000,0,1.16,91.95,61.08,-5.26,0.6,-9999
18/10/2009 04:00,734063.166667,0,1.25,10.5,58.92,-5.22,0.6,-9999
18/10/2009 05:00,734063.208333,0,1.16,95.8,58.77,-5.36,0.6,-9999
18/10/2009 06:00,734063.250000,0,1.25,9.45,57.3,-5.29,2.5,-9999
18/10/2009 07:00,734063.291667,0,0.98,96.52,57.42,-5.2,36.55,-9999
18/10/2009 08:00,734063.333333,0,1.02,67.38,54.88,-3.37,172.5,-9999
18/10/2009 09:00,734063.375000,0,1.39,166.35,57.5,-1.99,277.82,-9999
18/10/2009 10:00,734063.416667,0,2.08,281.15,57.02,-2.05,199.68,-9999
18/10/2009 11:00,734063.458333,0,2.41,332,53.23,-1.05,379.05,-9999
18/10/2009 12:00,734063.500000,0,1.95,172.68,47.27,-0.28,345.62,-9999
18/10/2009 13:00,734063.541667,0,2.27,340.8,49.7,-0.51,378.45,-9999
18/10/2009 14:00,734063.583333,0,2,260.8,49.6,-0.29,429.07,-9999
18/10/2009 15:00,734063.625000,0,2.09,246.05,53.62,-1.08,227.5,-9999
18/10/2009 16:00,734063.666667,0,1.95,333.43,56.2,-2.04,90.62,-9999
18/10/2009 17:00,734063.708333,0,2,321.15,64.35,-3.01,5.62,-9999
18/10/2009 18:00,734063.750000,0,1.25,247.45,69.03,-3.57,0.6,-9999
18/10/2009 19:00,734063.791667,0,1.16,94.05,68.55,-3.8,0.6,-9999
18/10/2009 20:00,734063.833333,0,1.49,25.65,68.03,-4.03,0.6,-9999
18/10/2009 21:00,734063.875000,0,1.58,16.85,64.2,-4.1,0.6,-9999
18/10/2009 22:00,734063.916667,0,1.21,171.27,60.4,-4.9,0.6,-9999
18/10/2009 23:00,734063.958333,0,1.11,173.75,60.98,-5.38,0.6,-9999
19/10/2009 00:00,734064.000000,0,1.16,179.35,58.28,-5.36,0.6,-9999
19/10/2009 01:00,734064.041667,0,1.21,349.95,58.55,-5.69,0.6,-9999
19/10/2009 02:00,734064.083333,0,1.3,93.35,58.62,-5.8,0.6,-9999
19/10/2009 03:00,734064.125000,0,1.25,5.95,60.05,-6.02,0.6,-9999
19/10/2009 04:00,734064.166667,0,1.11,253.42,61.92,-6.44,0.6,-9999
19/10/2009 05:00,734064.208333,0,1.07,339.05,61.12,-6.48,0.6,-9999
19/10/2009 06:00,734064.250000,0,1.21,321.85,64.67,-6.9,2.5,-9999
19/10/2009 07:00,734064.291667,0,0.93,248.85,62.62,-6.52,15.93,-9999
19/10/2009 08:00,734064.333333,0,0.84,265.7,59.85,-6.05,25.65,-9999
19/10/2009 09:00,734064.375000,0,1.21,103.9,52.7,-2.13,423.12,-9999
19/10/2009 10:00,734064.416667,0,1.95,164.95,51.27,-0.44,526.9,-9999
